ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"104.21.6.88","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5189","1","2023-07-28T11:19:55.533Z","100","3055","3056"
"38.127.179.124","elite","AS174","US","Cogent Communications","83","Torlandia Trading SRL","15290","socks4","4392","1","2023-07-28T11:19:55.547Z","100","3035","3037"
"8.39.228.209","elite","AS3356","US","Level 3 Communications, Inc.","191","Level 3, LLC","39593","socks4","3710","1","2023-07-28T11:19:52.742Z","100","3074","3084"
"45.79.0.108","elite","AS63949","US","Akamai Technologies, Inc.","111","Linode","1080","socks5","4600","1","2023-07-28T11:19:43.434Z","94","2824","3002"
"132.148.6.255","elite","AS398101","US","GoDaddy.com, LLC","136","GoDaddy.com, LLC","20859","socks5","3090","1","2023-07-28T11:19:43.338Z","98","3043","3093"
"137.220.61.187","elite","AS20473","US","The Constant Company","98","Vultr Holdings, LLC","10024","socks4","4815","1","2023-07-28T11:19:43.440Z","94","2906","3082"
"172.67.185.199","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","13335","socks4","4199","1","2023-07-28T11:19:43.341Z","100","3016","3016"
"5.161.86.206","elite","AS213230","US","Hetzner Online GmbH","83","HETZNER-DC","1080","socks5","4705","1","2023-07-28T11:19:38.139Z","82","2449","2990"
"69.163.163.62","elite","AS26347","US","New Dream Network, LLC","191","New Dream Network, LLC","15268","socks4","4406","1","2023-07-28T11:19:38.040Z","100","3043","3044"
"69.163.163.6","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","37884","socks5","5099","1","2023-07-28T11:19:38.036Z","100","3116","3119"
"45.113.80.37","elite","AS40676","US","Psychz Networks","187","Itaoyun Limited","9050","socks4","4797","1","2023-07-28T11:19:35.237Z","99","3080","3096"
"104.129.205.9","elite","AS22616","US","ZSCALER, INC.","94","Zscaler, Inc.","10297","socks5","4898","2","2023-07-28T11:19:29.746Z","95","2964","3104"
"162.255.108.225","elite","AS54755","US","Desert Winds Wireless","152","Desert Winds Wireless Inc","5678","socks4","4906","1","2023-07-28T11:19:29.745Z","100","3090","3095"
"157.245.134.203","elite","AS14061","US","DigitalOcean, LLC","89","DigitalOcean, LLC","12851","socks4","4914","1","2023-07-28T11:19:29.843Z","89","2681","2999"
"108.61.149.186","elite","AS20473","US","The Constant Company","100","Vultr Holdings, LLC","10040","socks4","4502","1","2023-07-28T11:19:29.747Z","66","1980","3010"
"104.25.42.178","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4992","1","2023-07-28T11:19:27.034Z","100","3091","3091"
"104.18.161.122","elite","AS13335","US","Cloudflare, Inc.","50","Cloudflare, Inc.","80","socks5","1603","1","2023-07-28T11:19:23.441Z","100","3122","3126"
"70.60.230.1","elite","AS11426","US","Spectrum","106","Fastlink Communications Inc","32940","socks4","4496","1","2023-07-28T11:19:23.439Z","100","3134","3135"
"104.156.224.85","elite","AS20473","US","Choopa","86","GameServers.com","11184","socks4","4995","1","2023-07-28T11:19:23.439Z","90","2738","3030"
"104.17.9.114","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4392","1","2023-07-28T11:19:21.334Z","100","3095","3095"
"45.77.210.72","elite","AS20473","US","The Constant Company","192","Vultr Holdings, LLC","11874","socks5","4795","1","2023-07-28T11:19:18.944Z","39","1184","3020"
"43.153.27.113","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","452","Tencent Cloud Computing","443","socks4","4907","1","2023-07-28T11:19:16.335Z","76","2331","3086"
"43.153.64.134","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","152","Tencent Cloud Computing","443","socks4","5007","1","2023-07-28T11:19:12.353Z","73","2240","3074"
"50.201.133.122","elite","AS7922","US","Comcast Cable Communications, LLC","99","Comcast Cable Communications, LLC","3355","socks4","4898","1","2023-07-28T11:19:12.346Z","100","3132","3135"
"50.47.75.214","elite","AS20055","US","Wholesail networks LLC","193","Ziply Fiber","5678","socks4","2101","1","2023-07-28T11:19:12.635Z","97","3004","3091"
"206.192.226.90","elite","AS25899","US","LS Networks","186","LS Networks","39593","socks4","3688","1","2023-07-28T11:19:12.351Z","100","3107","3111"
"69.163.165.253","elite","AS26347","US","New Dream Network, LLC","191","New Dream Network, LLC","47876","socks5","4503","1","2023-07-28T11:19:09.537Z","100","3125","3127"
"191.102.135.67","elite","AS394474","US","Webline Services","98","Corporate Network","3128","socks4","4687","1","2023-07-28T11:19:04.433Z","72","2207","3069"
"100.2.103.26","elite","AS701","US","Verizon Business","95","Verizon Online LLC","8080","socks4","4704","1","2023-07-28T11:19:04.234Z","100","3057","3062"
"71.227.88.166","elite","AS33668","US","Comcast Cable Communications, LLC","101","Comcast Cable Communications, Inc.","16913","socks4","4509","1","2023-07-28T11:19:04.150Z","100","3100","3113"
"47.89.193.34","elite","AS45102","US","Alibaba.com LLC","158","ALICLOUD-US","24055","socks5","4909","1","2023-07-28T11:19:03.122Z","98","2955","3022"
"173.255.199.69","elite","AS63949","US","Akamai Technologies, Inc.","111","Linode","19151","socks5","5003","1","2023-07-28T11:19:03.120Z","98","3043","3106"
"43.153.97.127","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","149","Tencent Cloud Computing","24067","socks4","4402","1","2023-07-28T11:19:03.123Z","77","2337","3024"
"75.119.205.16","elite","AS26347","US","New Dream Network, LLC","182","New Dream Network, LLC","23456","socks4","5095","1","2023-07-28T11:18:58.837Z","100","3010","3010"
"173.255.202.28","elite","AS63949","US","Akamai Technologies, Inc.","188","Linode","39319","socks5","5743","1","2023-07-28T11:18:58.834Z","99","2995","3015"
"137.184.34.178","elite","AS14061","US","DigitalOcean, LLC","153","DigitalOcean, LLC","12345","socks5","4902","1","2023-07-28T11:18:55.835Z","85","2626","3096"
"34.102.179.21","elite","AS396982","US","Google LLC","2","Google Cloud","80","socks4","2303","1","2023-07-28T11:18:55.747Z","100","2980","2980"
"66.33.210.54","elite","AS26347","US","New Dream Network, LLC","79","New Dream Network, LLC","17567","socks5","3404","1","2023-07-28T11:18:53.020Z","100","3099","3103"
"104.21.85.200","elite","AS13335","US","Cloudflare, Inc.","83","Cloudflare, Inc.","80","socks5","4396","1","2023-07-28T11:18:52.945Z","100","3087","3087"
"192.154.244.92","elite","AS64200","US","Vivid-hosting LLC","145","Vivid-hosting LLC","9000","socks4","4707","1","2023-07-28T11:18:52.939Z","100","3113","3120"
"174.100.109.131","elite","AS10796","US","Charter Communications","121","Spectrum","10019","socks4","4898","1","2023-07-28T11:18:47.640Z","100","3091","3101"
"192.210.148.89","elite","AS36352","US","ColoCrossing","203","ColoCrossing","80","socks4","5096","1","2023-07-28T11:18:47.647Z","100","2995","3000"
"172.67.181.234","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4690","1","2023-07-28T11:18:47.641Z","100","3014","3014"
"69.163.252.140","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","10754","socks4","4798","1","2023-07-28T11:18:44.936Z","100","3081","3082"
"64.227.104.2","elite","AS14061","US","DigitalOcean, LLC","194","DigitalOcean, LLC","13166","socks4","3890","1","2023-07-28T11:18:44.938Z","49","1523","3114"
"172.67.3.108","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","417","1","2023-07-28T11:18:42.940Z","100","3006","3006"
"45.196.148.67","elite","AS7018","US","AT&T Services","83","AQUA Networks Limited","5432","socks4","903","1","2023-07-28T11:18:42.942Z","97","2986","3065"
"68.183.128.131","elite","AS14061","US","DigitalOcean, LLC","82","DigitalOcean, LLC","8080","socks4","4811","1","2023-07-28T11:18:40.643Z","78","2409","3089"
"174.108.154.1","elite","AS11426","US","Spectrum","107","Fastlink Communications","32940","socks4","4907","1","2023-07-28T11:18:35.245Z","100","3132","3134"
"75.182.38.113","elite","AS11426","US","Charter Communications","107","Spectrum","5678","socks4","4701","1","2023-07-28T11:18:35.246Z","97","2969","3056"
"172.67.181.11","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4308","1","2023-07-28T11:18:32.934Z","100","3019","3020"
"45.77.111.135","elite","AS20473","US","The Constant Company","86","Vultr Holdings, LLC","15082","socks5","4401","1","2023-07-28T11:18:32.837Z","100","3086","3086"
